scenario,n_buildings,n_enemies,ENEMY_RETARGET_BUDGET_PER_TICK,ENEMY_PATHFIND_MAX_DEPTH,UNREACHABLE_RECHECK_INTERVAL,mean_ms,p95_ms
small_calm,20,0,10,800,0.5,0.216,0.318
small_calm,20,0,10,800,1.5,0.24,0.416
small_calm,20,0,10,1500,0.5,0.213,0.412
small_calm,20,0,10,1500,1.5,0.179,0.299
small_calm,20,0,25,800,0.5,0.24,0.361
small_calm,20,0,25,800,1.5,0.174,0.246
small_calm,20,0,25,1500,0.5,0.256,0.286
small_calm,20,0,25,1500,1.5,0.194,0.306
small_active,20,20,10,800,0.5,8.925,128.429
small_active,20,20,10,800,1.5,8.768,125.793
small_active,20,20,10,1500,0.5,16.902,246.983
small_active,20,20,10,1500,1.5,16.043,237.295
small_active,20,20,25,800,0.5,9.094,128.048
small_active,20,20,25,800,1.5,9.453,134.996
small_active,20,20,25,1500,0.5,16.346,235.656
small_active,20,20,25,1500,1.5,16.56,239.816
medium_calm,100,0,10,800,0.5,0.613,0.821
medium_calm,100,0,10,800,1.5,0.697,1.0
medium_calm,100,0,10,1500,0.5,0.596,0.789
medium_calm,100,0,10,1500,1.5,0.599,0.741
medium_calm,100,0,25,800,0.5,0.695,0.983
medium_calm,100,0,25,800,1.5,0.637,1.075
medium_calm,100,0,25,1500,0.5,0.626,0.967
medium_calm,100,0,25,1500,1.5,0.818,1.122
medium_active,100,30,10,800,0.5,31.603,313.242
medium_active,100,30,10,800,1.5,31.827,312.263
medium_active,100,30,10,1500,0.5,57.105,569.329
medium_active,100,30,10,1500,1.5,57.25,568.955
medium_active,100,30,25,800,0.5,32.001,316.408
medium_active,100,30,25,800,1.5,31.785,313.77
medium_active,100,30,25,1500,0.5,57.351,567.927
medium_active,100,30,25,1500,1.5,59.033,592.564
medium_swarm,100,80,10,800,0.5,90.178,354.986
medium_swarm,100,80,10,800,1.5,92.843,378.131
medium_swarm,100,80,10,1500,0.5,159.979,611.728
medium_swarm,100,80,10,1500,1.5,159.21,607.389
medium_swarm,100,80,25,800,0.5,89.637,345.7
medium_swarm,100,80,25,800,1.5,92.641,361.173
medium_swarm,100,80,25,1500,0.5,165.422,643.494
medium_swarm,100,80,25,1500,1.5,167.759,652.329
large_calm,250,0,10,800,0.5,1.3,1.875
large_calm,250,0,10,800,1.5,1.321,1.938
large_calm,250,0,10,1500,0.5,1.378,1.839
large_calm,250,0,10,1500,1.5,1.305,1.856
large_calm,250,0,25,800,0.5,1.319,1.936
large_calm,250,0,25,800,1.5,1.599,2.075
large_calm,250,0,25,1500,0.5,1.394,2.105
large_calm,250,0,25,1500,1.5,1.262,1.766
large_active,250,40,10,800,0.5,95.442,712.479
large_active,250,40,10,800,1.5,97.096,726.119
large_active,250,40,10,1500,0.5,178.727,1360.93
large_active,250,40,10,1500,1.5,183.578,1411.276
large_active,250,40,25,800,0.5,100.504,749.825
large_active,250,40,25,800,1.5,100.411,747.119
large_active,250,40,25,1500,0.5,184.685,1390.157
large_active,250,40,25,1500,1.5,180.568,1377.455
large_swarm,250,120,10,800,0.5,297.258,772.325
large_swarm,250,120,10,800,1.5,299.697,783.237
large_swarm,250,120,10,1500,0.5,531.814,1380.543
large_swarm,250,120,10,1500,1.5,536.632,1395.849
large_swarm,250,120,25,800,0.5,306.887,814.55
large_swarm,250,120,25,800,1.5,292.021,771.804
large_swarm,250,120,25,1500,0.5,513.848,1451.098
large_swarm,250,120,25,1500,1.5,483.137,1244.369
huge_calm,500,0,10,800,0.5,1.964,2.224
huge_calm,500,0,10,800,1.5,2.147,3.107
huge_calm,500,0,10,1500,0.5,2.226,3.26
huge_calm,500,0,10,1500,1.5,2.16,3.08
huge_calm,500,0,25,800,0.5,2.237,3.34
huge_calm,500,0,25,800,1.5,2.232,3.426
huge_calm,500,0,25,1500,0.5,2.507,3.463
huge_calm,500,0,25,1500,1.5,2.292,3.395
huge_active,500,60,10,800,0.5,266.505,1405.459
huge_active,500,60,10,800,1.5,273.283,1416.499
huge_active,500,60,10,1500,0.5,475.237,2469.545
huge_active,500,60,10,1500,1.5,457.784,2313.136
huge_active,500,60,25,800,0.5,257.59,1322.935
huge_active,500,60,25,800,1.5,249.563,1260.594
huge_active,500,60,25,1500,0.5,457.479,2296.77
huge_active,500,60,25,1500,1.5,455.399,2311.993
huge_swarm,500,200,10,800,0.5,846.608,1331.637
huge_swarm,500,200,10,800,1.5,849.118,1325.88
huge_swarm,500,200,10,1500,0.5,1508.519,2383.994
huge_swarm,500,200,10,1500,1.5,1431.98,2280.801
huge_swarm,500,200,25,800,0.5,774.149,1206.386
huge_swarm,500,200,25,800,1.5,756.367,1152.279
huge_swarm,500,200,25,1500,0.5,1386.475,2113.738
huge_swarm,500,200,25,1500,1.5,1382.933,2094.917
